sentence_id,text,source_name,label,label_name,llm_label,llm_rationale,llm_raw,n_retries,parse_failed,latency_sec
6c79b4e8-6a6b-4009-a610-09ebef1c4983,Kamala Harris promises to throw money at the problem: Our own vice president just pledged $3 billion of U.S. taxpayers' hard-earned money to the Green Climate Fund.,reason,1,biased,biased,"Loaded evaluative language: 'throw money at', 'hard-earned'","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'throw money at', 'hard-earned'""}",0,False,6.32
0adcccac-4080-4fda-a6f5-ff9e4afc6c6f,"Local governments are charged with ensuring their employees are properly classified, the agency said.",nj,0,non-biased,non-biased,Neutral attribution language and factual reporting,"{""label"": ""non-biased"", ""rationale"": ""Neutral attribution language and factual reporting""}",0,False,5.13
baeb72cb-1a33-4f6b-a014-d3e058367736,"There have been an estimated 20 million deaths from Covid-19 around the world, but that number might well have doubled, Fauci said.",alternet,0,non-biased,non-biased,Neutral attribution language and hedged estimate,"{""label"": ""non-biased"", ""rationale"": ""Neutral attribution language and hedged estimate""}",0,False,5.3
994d19fc-54d7-44bc-b91b-19c69c1667c9,"Potter glides smoothly from Emily’s prim, plummy Oxbridge accent to the Scandinavian villagers she befriends to the appropriately eerie Folk.",slate,0,non-biased,biased,"Loaded evaluative language: 'prim', 'plummy'","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'prim', 'plummy'""}",0,False,5.62
9222031a-9ecb-42f8-bb7e-52206d4ee68c,"Eventually, we find the view of the Tamar river which we’ve been looking for My guide is Will Darwall, manager of the Tamara Landscape Partnership Scheme (TLPS), the organisation that has created the 87-mile walk running from Cremyll near Plymouth in the south to Marsland Mouth, near Bude in the north.",the-guardian,0,non-biased,non-biased,Neutral factual description of a person's role and organization.,"{""label"": ""non-biased"", ""rationale"": ""Neutral factual description of a person's role and organization.""}",0,False,6.49
40cc223e-6ac3-46ca-a661-f562cf57ee23,"As our smell decreases, think of what happens when you have a nose cold and both your nostrils are blocked.",wired,0,non-biased,biased,Loaded language evoking unpleasantness,"{""label"": ""biased"", ""rationale"": ""Loaded language evoking unpleasantness""}",0,False,4.73
ac292865-026f-4114-8923-5361e0ebf0c1,Counselors will manage all the details - even rewrites of your college application essay.,american-thinker,0,non-biased,biased,Loaded evaluative language: 'all the details' implies excessive or burdensome work,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'all the details' implies excessive or burdensome work""}",0,False,6.43
d7798b98-28bf-48c6-a757-742cde70f68d,"For more content, check out the New York Post Shopping section.",new-york-post,0,non-biased,biased,Loaded evaluative language ('Shopping' implies excitement or importance),"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('Shopping' implies excitement or importance)""}",0,False,5.58
0428c308-7964-4f7d-bd84-dd752b083146,Explain to me the psychology of the people who pay all the money for the apes.,current-affairs,1,biased,biased,Loaded evaluative language ('all the money') and pejorative framing,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('all the money') and pejorative framing""}",0,False,6.05
ce885306-a813-4c41-8197-4a3745ac80a5,"So that will take them directly to a place where they can do it, or just click the link down in the show notes.",christianity-today,0,non-biased,non-biased,Neutral language used for instructional purposes.,"{""label"": ""non-biased"", ""rationale"": ""Neutral language used for instructional purposes.""}",0,False,5.59
bc375c42-4c1e-46e3-9ed0-331f39d82a8e,"He goes on to say that the ADL and other Jewish groups are pushing replacements of whites, it’s a lot of condemnation for singling out a specific religious group during a time E rapidly rising antisemitism.",hotair,1,biased,biased,Loaded language and evaluative claims about 'rapidly rising antisemitism'.,"{""label"": ""biased"", ""rationale"": ""Loaded language and evaluative claims about 'rapidly rising antisemitism'.""}",0,False,6.51
26df261a-e3e4-4a3d-9f14-9cd866f3fa98,The sister of one of the hostages asked why the families were being kept out of the information loop by the Red Cross.,hotair,0,non-biased,non-biased,Neutral attribution language and factual reporting on a sensitive topic,"{""label"": ""non-biased"", ""rationale"": ""Neutral attribution language and factual reporting on a sensitive topic""}",0,False,6.1
d666194f-d7e6-4398-b030-151902dee1a0,Not the fact that the Red Cross has not been allowed to meet with hostages or to distinguish between that which is true and that which is pure propaganda.,newsmax,1,biased,biased,Loaded evaluative language ('pure propaganda'),"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('pure propaganda')""}",0,False,4.92
3f7adff2-4b51-40ab-bcd2-529cb7f2b78f,"Clinton disparaging Trump-supporters is far from revelatory, as she infamously referred to them as a basket of deplorables during the lead-up to the 2016 election.",american-thinker,1,biased,biased,Loaded evaluative language and pejorative framing,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and pejorative framing""}",0,False,5.24
180bf823-3adf-464a-8f1b-4d03e78d13c7,"It also reviews problematic issues related to the selection of topics, methodologies and research tools, as well as the inability of researchers to epistemologically break from their preconceived ideas while dealing with research topics, which then results in a functional defect in findings and undermines their credibility and objectivity.",al-jazeera,0,non-biased,biased,"Loaded evaluative language: 'problematic issues', 'functional defect'","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'problematic issues', 'functional defect'""}",0,False,6.33
b94f2e6a-c0ae-4ee8-808e-8f1ac528b417,"The resurfaced clip comes as Americans find themselves embroiled in an ongoing discussion about the rise of tipping culture, as touch screens and their in-your-face tipping requests become the norm.",new-york-post,0,non-biased,biased,Loaded evaluative language: 'in-your-face',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'in-your-face'""}",0,False,5.42
ea5ba21c-52f6-48ac-aace-e45c91384fcc,"Fortunately, this fungus is typically only found in the southwestern US, parts of Mexico, and Central and South America - and cases are rare.",vox,0,non-biased,non-biased,Neutral language used to report geographical scope and frequency.,"{""label"": ""non-biased"", ""rationale"": ""Neutral language used to report geographical scope and frequency.""}",0,False,5.89
65ae68b8-a20b-4f73-9d42-c07a9d9ef398,"Instead of happy students when, we cut that 80% government support down to around 20% (with the 80% now covered by student’s tuition), our nation is groaning under a $2 trillion dollar student debt burden, preventing young people from buying homes, starting businesses, or beginning families.",alternet,1,biased,biased,Loaded evaluative language and emotive framing of economic consequences,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and emotive framing of economic consequences""}",0,False,5.91
cb1f803f-5c1d-43df-a8a5-5e8f4a7aea7b,"Ginger, Rocky and their pals have to break into this chicken farm and pull off a daring rescue, before their daughter turns into a bucket of nuggets.",the-guardian,1,biased,biased,Loaded evaluative language: 'daring rescue',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'daring rescue'""}",0,False,5.36
795edd50-e689-49b4-bd33-768044c18ead,"If Sessions had the vision and courage to charge Lerner, however, the DOJ would have fired a shot across the bow of bureaucrats who abuse their positions to further partisan views.",american-thinker,1,biased,biased,Loaded evaluative language: 'abuse their positions' and 'further partisan views',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'abuse their positions' and 'further partisan views'""}",0,False,6.81
1bb1a2d8-7c9b-46c9-9d4e-abee2d1eac25,Governor Abbott sends illegal aliens to sanctuary cities by using funds in Operation Lone Star for bus trips.,hotair,1,biased,biased,"Loaded language: 'illegal aliens', evaluative framing of policy","{""label"": ""biased"", ""rationale"": ""Loaded language: 'illegal aliens', evaluative framing of policy""}",0,False,5.73
a7ad8ba3-fc6f-42e8-99e7-872c1211d329,BetRivers Casino BetRivers is a top-rated New Jersey online casino and sportsbook currently offering new players a guaranteed 100% match bonus worth up to $500 (available on the first deposit only).,newsmax,0,non-biased,biased,Loaded evaluative language: 'top-rated',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'top-rated'""}",0,False,5.2
de9e2281-e2ef-47c4-864a-54446207aed7,"Bernie Sanders Supporter: If you want to stop feeling sick and tired and start feeling better, then join me and others in working to elect a president who is not beholden to Wall Street.",the-intercept,1,biased,biased,"Loaded evaluative language ('sick and tired', 'feel better')","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('sick and tired', 'feel better')""}",0,False,6.15
d3a814a2-2513-4e47-b29f-42aab56aa00d,False claim - proximity Most of the posts made it sound like someone could randomly pass by you or sit next to you on a bus or airplane and snag your contact info.,az-central,0,non-biased,biased,Loaded evaluative language ('false claim'),"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('false claim')""}",0,False,5.0
04de942f-9ac8-4aea-9f02-c3529d8d43a6,"Best practices, Szany explained, are the opposite: focusing on individual stories, hearing from survivors and victims in their own words.",the-atlantic,0,non-biased,biased,"Loaded evaluative language ('best practices', 'opposite')","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('best practices', 'opposite')""}",0,False,5.97
73c0f7ce-35df-47f3-9ea9-9df98349b6b5,"Flores was hospitalized in Fresno, but returned to prison two days later.",fox-news,0,non-biased,non-biased,"Neutral reporting language, no loaded or evaluative terms.","{""label"": ""non-biased"", ""rationale"": ""Neutral reporting language, no loaded or evaluative terms.""}",0,False,5.97
bd23c4b0-5278-4737-b78b-4cd7518ad6c7,The simple and correct answer is to outlaw all U.S. investment in China and require current investments to be unwound within a few years.,washington-times,1,biased,biased,"Loaded evaluative language ('simple', 'correct')","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('simple', 'correct')""}",0,False,5.31
63472570-4933-4fe1-8ccd-9c8ae74af2be,5 questions answered by 3 doctors ‘My wife doesn’t want me to’ Anti-abortion doctors are a minority.,the-conversation,1,biased,biased,Loaded evaluative language ('minority' implies negative connotation),"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('minority' implies negative connotation)""}",0,False,6.12
40094abc-335f-42c7-8b74-ef5318043a87,"Demon Copperhead (Faber) by Barbara Kingsolver is a modern-day retelling of David Copperfield, a glorious epic that is political and righteously angry, but thanks to the exquisitely rendered narrative voice, always engaging.",the-guardian,1,biased,biased,"Loaded evaluative language: 'glorious', 'righteously angry'","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'glorious', 'righteously angry'""}",0,False,6.51
632b8823-8d50-4bad-a622-8f6ecdb6a46c,"It’s different from Nascar in a few ways: Drivers race on winding tracks with hard turns rather than circular tracks, the gulfs in performance between the best and worst machines are massive, and, thanks to literally breakneck speeds made to push bodies to their limits, the stakes are higher.",vox,0,non-biased,biased,"Loaded evaluative language: 'breakneck', 'push bodies to their limits'","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'breakneck', 'push bodies to their limits'""}",0,False,6.68
e7a97396-cb9c-4e4c-abe5-a03a6c0f307b,"Between Washington’s third-party-enforced devaluation and disconnection, physicians get neither psychic reward nor fair compensation for their work.",the-american-spectator,1,biased,biased,Loaded evaluative language: 'psychic reward',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'psychic reward'""}",0,False,5.57
7cfe3c85-be3d-46c4-8494-fed74b51c88b,"If you have any familiarity with history, you know how this story can go.",current-affairs,1,biased,biased,Loaded language and implication of inevitability,"{""label"": ""biased"", ""rationale"": ""Loaded language and implication of inevitability""}",0,False,4.88
0cd058ea-edc4-4801-8c2a-c84674888b6c,"AP Turnovers favor Texas in ball security, but Marquette’s aggressive defense poses a threat.",new-york-post,0,non-biased,non-biased,Neutral framing of opposing team's strategy,"{""label"": ""non-biased"", ""rationale"": ""Neutral framing of opposing team's strategy""}",0,False,5.38
ee82b9c7-2181-42de-9b53-5c6752117588,"The World Waits Written by Elizabeth Pham Illustrated by Jen Olson Sophia Institute, 2023 32 pages, $16.95 A sad and tired world waits and waits.",national-catholic-register,0,non-biased,biased,Loaded evaluative language: 'sad' and 'tired',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'sad' and 'tired'""}",0,False,5.97
750c3f3b-6b10-41ea-8dd9-bfcdfbd2ee49,Floyd’s murder is just the latest outrage in a parade of racist horrors this spring.,alternet,1,biased,biased,Loaded evaluative language and subjective framing,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and subjective framing""}",0,False,4.78
e803a43a-25b3-44c8-b682-74643baa4ab0,The seemingly predetermined nature of these races is turning America off.,vox,1,biased,biased,Loaded evaluative language ('turning America off'),"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('turning America off')""}",0,False,5.12
a7f296f7-27dc-4809-92ba-7d0361d71b70,But Hunter Biden believes Republicans are pursuing a partisan inquiry aimed at damaging the Biden family name and his father’s re-election prospects.,washington-times,0,non-biased,biased,Loaded evaluative language: 'partisan inquiry' implies illegitimacy,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'partisan inquiry' implies illegitimacy""}",0,False,6.52
abda8a4a-de67-4918-a805-f88c707249a2,"Baffled that such a baldly prejudiced policy was still on the books in 2019, Nadel and Plotka contacted Cooper to learn more about her work.",the-new-yorker,1,biased,non-biased,Neutral attribution language used for reporting facts.,"{""label"": ""non-biased"", ""rationale"": ""Neutral attribution language used for reporting facts.""}",0,False,5.51
a35cb573-d240-4a0b-89fd-7a17591d3c69,Actors are the aperture between the audience and the story and you should not be seen.,vanity-fair,1,biased,biased,Loaded evaluative language: 'should not be seen' implies a strong opinion.,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'should not be seen' implies a strong opinion.""}",0,False,6.4
dac41969-a02e-4ffa-8389-9496f3b154c8,So why is Adelson and her family throwing billions into a Dallas team?,cnbc,1,biased,biased,Loaded evaluative language ('throwing billions') implies negative motive.,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('throwing billions') implies negative motive.""}",0,False,5.8
cbd314ce-6b4c-4f37-bb26-4e67bf8687bb,They’ve already chalked up a win for the Pentagon and a loss for social conservatives this Christmas.,fox-news,1,biased,biased,Loaded evaluative language: 'win' and 'loss',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'win' and 'loss'""}",0,False,5.81
b60aff29-15e3-46c7-8eca-d91f136f23ab,"But among respiratory viruses, COVID-19 remains the main cause of hospitalizations and deaths, health officials said Friday, Dec. 1, 2023.",abc-news,0,non-biased,non-biased,Neutral attribution language to health officials,"{""label"": ""non-biased"", ""rationale"": ""Neutral attribution language to health officials""}",0,False,5.15
9c9d44c4-0a42-4f40-b407-386e356f1009,"Crucially, it also was vague about how any of the code’s provisions would be enforced.",az-central,0,non-biased,biased,Loaded evaluative language ('crucially') frames vagueness as a negative.,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('crucially') frames vagueness as a negative.""}",0,False,6.69
c128f3dd-dbef-4f58-ac65-01940a7e67d0,And you've already convinced yourself that this number is not on this list anywhere.,wired,1,biased,biased,Loaded language and assumption of conclusion,"{""label"": ""biased"", ""rationale"": ""Loaded language and assumption of conclusion""}",0,False,4.51
89130308-0e8b-4519-84b6-a63513051082,My response is: how could they have 30 to 60 years ago?,current-affairs,1,biased,biased,Loaded evaluative language and implicit criticism,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and implicit criticism""}",0,False,4.69
08906d79-ae26-4efb-b177-1c0cba21c23a,"Morgan Stanley downgrades Plug Power (PLUG) to underweight from equal weight, while lowering its price target to $3 a share, down from $3.50.",cnbc,0,non-biased,non-biased,"Neutral reporting language, factual description of financial action","{""label"": ""non-biased"", ""rationale"": ""Neutral reporting language, factual description of financial action""}",0,False,5.71
04594fe7-f2d4-4cff-a2cc-70b58911b529,"Trump may not be much of a stable genius, but he doesn't need to be the brightest bulb on the KKK Christmas tree to be a racist troll.",alternet,1,biased,biased,Loaded evaluative language and personal attacks,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and personal attacks""}",0,False,4.78
53fd473b-6005-4c9c-b609-c859a373df80,Analysts should therefore ask whether a leader’s goals include a vision that expresses widely attractive values at home and abroad.,foreign-affairs,0,non-biased,biased,Loaded evaluative language: 'widely attractive values',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'widely attractive values'""}",0,False,5.67
a7690b64-d3c7-4f95-bca7-3da4baed0fda,"Still, it’s hard to get excited about this team given how uninspiring the offense looks whenever Justin Herbert isn’t throwing the ball to Keenan Allen.",baltimore-sun,1,biased,biased,Loaded evaluative language: 'uninspiring',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'uninspiring'""}",0,False,5.35
d924e03e-ea57-4d53-bd1d-402ee39b9d82,"The U.K. debt-to-GDP ratio comes in at 97 percent, while Washington’s is at 129 percent and growing.",the-american-conservative,0,non-biased,biased,"Loaded evaluative language ('growing', implying negative trend)","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('growing', implying negative trend)""}",0,False,5.64
e93539d8-467d-4b8e-9c5e-db2957cf3529,Transaction fees are much lower when compared to international money transfers.,newsmax,0,non-biased,non-biased,Neutral comparison language,"{""label"": ""non-biased"", ""rationale"": ""Neutral comparison language""}",0,False,4.38
ed03babd-e5b3-4075-936e-c9290c2a4642,"Gavin is dumb, almost Kamala-level dumb, and he got where he is because he’s good looking, connected, and because you can be a dumb Democrat in California and survive.",townhall,1,biased,biased,Loaded evaluative language and subjective framing,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and subjective framing""}",0,False,4.86
cd8f7cd1-1d24-4906-bb75-aa79640426fa,"But although this has given parents a more comprehensive view of their child’s performance and made information more accessible, it has also introduced a new set of stressors for teachers.",the-atlantic,0,non-biased,non-biased,Neutral language describes both positive and negative effects.,"{""label"": ""non-biased"", ""rationale"": ""Neutral language describes both positive and negative effects.""}",0,False,5.72
1778ed16-75a9-4cc2-9c7d-5feb2777ac98,What matters is what his supporters will do when they lose.,alternet,1,biased,biased,Loaded evaluative language and assumption of negative outcome,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and assumption of negative outcome""}",0,False,4.93
64f09803-2d4d-4ed9-a757-40ede8351636,"Hearing her supple, sultry vocals torch up this seasonal standard is enough to roast those chestnuts without any open fire.",new-york-post,1,biased,biased,"Loaded evaluative language: 'supple', 'sultry', 'torch'","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'supple', 'sultry', 'torch'""}",0,False,6.9
c660e9db-4a38-499a-945a-90c9c268f545,These licenses ensure that the export control regime - so often lauded by Republicans - remains mostly toothless.,washington-times,1,biased,biased,Loaded evaluative language ('toothless') and partisan reference,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('toothless') and partisan reference""}",0,False,5.81
23487ca7-abcd-459a-8f2c-b78700461ea7,He owes Thamel an on-air apology that was as strongly worded as his initial criticisms.,poynter,1,biased,biased,Loaded evaluative language ('strongly worded'),"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('strongly worded')""}",0,False,5.4
5b3eb148-ceb5-4205-92ca-d0bf7d424def,"What makes that true and where do you think that comes from, and how do we as Americans need to be especially careful about this idea of staying rather than just simply being like rocks skipping across the surface of the water.",christianity-today,0,non-biased,biased,Loaded evaluative language and subjective framing,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and subjective framing""}",0,False,4.98
a56c5255-7d5e-4486-8e0f-932b3322c564,"At the federal level, investigations have revealed rampant misuse of funds, excessive and inappropriate discipline (especially of Black boys), and exploitation of public dollars by private companies.",mother-jones,1,biased,biased,"Loaded evaluative language ('rampant', 'excessive', 'inappropriate')","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('rampant', 'excessive', 'inappropriate')""}",0,False,6.65
6e30e0d4-199e-4605-aca7-ab07b0d9cf4c,It seemed clear that whoever wrote the proposed scripts either did not understand DBFOMs or deliberately misrepresented them.,reason,1,biased,biased,Loaded evaluative language: 'deliberately misrepresented',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'deliberately misrepresented'""}",0,False,5.65
213562a5-b742-48f2-b12f-18dabae67624,Simon contrasts Warren’s bold steps on Brown with Eisenhower’s cautious tiptoe.,alternet,0,non-biased,biased,Loaded evaluative language: 'bold' vs 'cautious',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'bold' vs 'cautious'""}",0,False,6.01
87ae25bb-d643-4aa0-af2a-9a646f115716,"Other existing offers include welcome freeroll, tournaments, free spins, and reload bonuses.",newsmax,0,non-biased,non-biased,Neutral description of promotional offers,"{""label"": ""non-biased"", ""rationale"": ""Neutral description of promotional offers""}",0,False,4.94
e69bcd89-c4bd-4ca4-91dd-9425e6020f9b,This season finally does give some overdue attention to the publicists whose job it is to facilitate this system.,vox,1,biased,biased,"Loaded evaluative language ('overdue attention', 'facilitate')","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('overdue attention', 'facilitate')""}",0,False,6.2
15eef161-52b6-48fe-9a15-e54743e980c5,Article continues below Does it matter that there’s no mention of extraterrestrial life in the universe in the Bible?,christianity-today,0,non-biased,biased,Presupposes a conclusion about the Bible's relevance to extraterrestrial life,"{""label"": ""biased"", ""rationale"": ""Presupposes a conclusion about the Bible's relevance to extraterrestrial life""}",0,False,6.43
442ca7e2-97ac-48e0-ac73-8ee904c0b145,"Systemwide oversight failures at the local, state and federal levels have enabled the sexual abuse of children in American schools to persist with virtually no monitoring of such incidents.",cbs-news,1,biased,biased,Loaded evaluative language: 'persist with virtually no monitoring',"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'persist with virtually no monitoring'""}",0,False,5.7
263afc1e-e07e-4c43-b0f7-9184224468f2,"In a contest between Trump and Biden, the superrich can’t get what they want the most: political stability paired with a continuing assault on the welfare state.",vox,1,biased,biased,"Loaded evaluative language: 'superrich', 'assault'","{""label"": ""biased"", ""rationale"": ""Loaded evaluative language: 'superrich', 'assault'""}",0,False,6.12
f29a72cf-fbed-4346-96ab-531c8d9d8dec,"The pizza is then a means to the end of keeping them growing and happy, instead of just ... eating out for lunch for the 578,234th time.",the-federalist,1,biased,biased,Loaded evaluative language and subjective framing,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and subjective framing""}",0,False,4.77
9bab8e34-bcc4-4a97-8e5b-bd5fd88f3c6f,So we are honoring college athletes this year and it's an incredible moment to also recognize our college honorees that are here today.,vogue,0,non-biased,biased,Loaded evaluative language ('incredible moment'),"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language ('incredible moment')""}",0,False,5.07
7d8a6acb-79d8-4649-a4ff-125bafdfd160,It’s the other stuff-what you deliberately hid from us-that we find so upsetting.,esquire,1,biased,biased,Loaded evaluative language and accusatory tone,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and accusatory tone""}",0,False,4.96
2d71993e-c3fa-4c7b-aab7-aa11261cbf5c,"According to the Post, similar questions of liability are often key in high-profile bankruptcy settlements, such as the one that Boy Scouts of America reached with thousands of people who claimed to have been sexually abused.",mother-jones,0,non-biased,non-biased,Neutral attribution language and factual description of a sensitive topic,"{""label"": ""non-biased"", ""rationale"": ""Neutral attribution language and factual description of a sensitive topic""}",0,False,5.96
0eae8eb7-a897-42b3-bd16-40f042ec36d0,"This is absolutely the day when you should have exactly what you want, whether that is a massive roast dinner or an all-day grazing buffet of treats.",the-guardian,1,biased,biased,Loaded evaluative language and subjective framing,"{""label"": ""biased"", ""rationale"": ""Loaded evaluative language and subjective framing""}",0,False,4.75
beadfbef-728e-44e2-86b0-f951ca1b050f,"Florida Republican governor Ron DeSantis says he would have loved to hang out with Jesus and his disciples, and thinks America needs more God.",alternet,1,biased,biased,Presumes a positive value on religiosity,"{""label"": ""biased"", ""rationale"": ""Presumes a positive value on religiosity""}",0,False,4.95
